Method,Size,Runs,TimeSec
Sequential,1024,5,1.877800
ParallelStream,1024,5,0.696400
Threads_Manual,1024,5,0.704000
Atomic_BagOfTasks,1024,5,0.694200
Vectorized_Sim,1024,5,0.843600
Sequential,256,10,0.014500
ParallelStream,256,10,0.003000
Threads_Manual,256,10,0.018100
Atomic_BagOfTasks,256,10,0.005700
Vectorized_Sim,256,10,0.011600
Sequential,512,10,0.168200
ParallelStream,512,10,0.028300
Threads_Manual,512,10,0.043400
Atomic_BagOfTasks,512,10,0.029700
Vectorized_Sim,512,10,0.092800
Sequential,2048,3,52.751000
ParallelStream,2048,3,10.273333
Threads_Manual,2048,3,10.084000
Atomic_BagOfTasks,2048,3,10.047667
Vectorized_Sim,2048,3,7.371000
Sequential,4096,1,2034.372000
ParallelStream,4096,1,220.151000
Threads_Manual,4096,1,216.087000
Atomic_BagOfTasks,4096,1,206.713000
Vectorized_Sim,4096,1,52.302000
